StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,5,9.95,Z,20,5050703594127,,,N,
B 424B,GOOR,,Dark Tan,Brushed PU,5 Eyelet Oxford Brogue Shoe,Unit Sole,64029991,CN,0.6,,,UK,5.5,9.95,Z,20,5050703594172,,,N,
B 430A,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039111,IN,0.92,,,UK,3,21.95,S,20,5050703003094,,,N,
B 430A,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039111,IN,0.92,,,UK,4,21.95,S,20,5050703003100,,,N,APRB
B 430A,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039111,IN,0.92,,,UK,5,21.95,S,20,5050703003117,,,N,FEBA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,6,21.95,S,20,5050703003124,,,N,FEBA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,7,22.95,S,20,5050703003131,,,N,FEBA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,8,22.95,S,20,5050703003148,,,N,FEBA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,9,22.95,S,20,5050703003155,,,N,FEBA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,10,22.95,S,20,5050703003162,,,N,FEBA
