StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 430A,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039111,IN,0.92,,,UK,3,21.95,S,11,5050703003094,,,N,
B 430A,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039111,IN,0.92,,,UK,4,21.95,S,20,5050703003100,,,N,JANA
B 430A,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039111,IN,0.92,,,UK,5,21.95,S,20,5050703003117,,,N,
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,6,21.95,S,20,5050703003124,,,N,JANA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,7,22.95,S,20,5050703003131,,,N,JANA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,8,22.95,S,20,5050703003148,,,N,JANA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,9,22.95,S,20,5050703003155,,,N,JANA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,10,22.95,S,20,5050703003162,,,N,JANA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,11,22.95,S,20,5050703003179,,,N,JANA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,12,22.95,S,20,5050703003186,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,3,21.95,S,16,5050703003193,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,4,21.95,S,20,5050703003209,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,5,21.95,S,20,5050703003216,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,6,21.95,S,20,5050703003223,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,7,22.95,S,20,5050703003230,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,8,22.95,S,20,5050703003247,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,9,22.95,S,20,5050703003254,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,10,22.95,S,20,5050703003261,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,11,22.95,S,20,5050703003278,,,N,JANA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,12,22.95,S,20,5050703003285,,,N,JANA
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,3,21.95,S,0,5050703619738,,,N,
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,4,21.95,S,0,5050703619745,,,N,
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,5,21.95,S,6,5050703619752,,,N,
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,6,21.95,S,11,5050703619769,,,N,
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,7,22.95,S,16,5050703619776,,,N,
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,8,22.95,S,20,5050703619783,,,N,DECB
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,9,22.95,S,20,5050703619790,,,N,DECB
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,10,22.95,S,15,5050703619806,,,N,DECB
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,11,22.95,S,7,5050703619813,,,N,DECB
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,12,22.95,S,0,5050703619820,,,N,
